fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"132",San Carlos,,Equatorial Guinea,"2260"
"133",San Joaquin,,Equatorial Guinea,"2009"
"134",Santa Isabel,"1923",Equatorial Guinea,"2999"
"135",Tombel Graben,,Cameroon,"500"
"136",Cameroon,"2000",Cameroon,"4095"
"137",Oku Volcanic Field,,Cameroon,"3011"
"138",Todra Volcanic Field,,Niger,"1780"
"139",Tahalra Volcanic Field,,Algeria,"1467"
"140",Atakor Volcanic Field,,Algeria,"2918"
"141",Manzaz Volcanic Field,,Algeria,"1672"
"142","Toh, Tarso",,Chad,"2000"
"143","Tousside, Tarso",,Chad,"3265"
"144","Koussi, Emi",,Chad,"3415"
"145","Voon, Tarso",,Chad,"3100"
"146","Marra, Jebel","-2000",Sudan,"3042"
"147",Kutum Volcanic Field,,Sudan,"1779"
"148",Meidob Volcanic Field,"-2950",Sudan,"2000"
"149",Bayuda Volcanic Field,"850",Sudan,"670"
"150","Ash Shaam, Harrat","-2670",Syria-Jordan-Saudi Arabia,"1100"
"151","Lunayyir, Harrat","1000",Saudi Arabia,"1370"
"152","Ithnayn, Harrat",,Saudi Arabia,"1625"
"153","Khaybar, Harrat","650",Saudi Arabia,"2093"
"154","Kishb, Harrat",,Saudi Arabia,"1475"
"155","Birk, Harrat al",,Saudi Arabia,"587"
"156","Rahat, Harrat","1256",Saudi Arabia,"1744"
"157","Yar, Jabal","1810",Saudi Arabia,"305"
"158","Arhab, Harra of","500",Yemen,"3100"
"159","Haylan, Jabal","-1200",Yemen,"1550"
"160","Dhamar, Harras of",,Yemen,"3500"
"161","Sawad, Harra Es-","1253",Yemen,"1737"
"162",Balhaf-Bir Ali Volcanic Field,,Yemen,"604"
"163",Bir Borhut,,Yemen,"464"
"164",Damavand,"-5350",Iran,"5670"
"165","Grille, La",,Comoros,"1087"
"166",Mayotte,"2019",France,"660"
"167",Ambre-Bobaomby,,Madagascar,"1475"
"168",Nosy-Be,,Madagascar,"214"
"169",Ankaizina Field,,Madagascar,"2878"
"170",Itasy Volcanic Field,"-6050",Madagascar,"1800"
"171",Vakinankaratra,,Madagascar,"2644"
"172",Karthala,"2007",Comoros,"2361"
"173","Fournaise, Piton de la","2023",France,"2632"
"174",Boomerang Seamount,"1995",France,"-650"
"175",Amsterdam Island,,France,"881"
"176",St. Paul,"1793",France,"268"
"177",McDonald Islands,"2005",Australia,"230"
"178",Heard,"2024",Australia,"2745"
"179",Kerguelen Islands,,France,"1840"
"180","Est, Ile de l'",,France,"1090"
"181","Possession, Ile de la",,France,"934"
"182","Cochons, Ile aux",,France,"775"
"183",Prince Edward Island,,South Africa,"672"
"184",Marion Island,"2004",South Africa,"1230"
"185",Kaikohe-Bay of Islands,"400",New Zealand,"388"
"186",Mayor Island,"-5060",New Zealand,"355"
"187",Auckland Volcanic Field,"1446",New Zealand,"260"
"188",Taranaki,"1800",New Zealand,"2518"
"189",Whakaari/White Island,"2024",New Zealand,"294"
"190",Okataina,"1981",New Zealand,"1111"
"191",Taupo,"260",New Zealand,"760"
"192",Tongariro,"2012",New Zealand,"1978"
"193",Clark,,New Zealand,"-860"
"194",Tangaroa,,New Zealand,"-600"
"195",Ruapehu,"2007",New Zealand,"2797"
"196",Rumble V,,New Zealand,"-400"
"197",Rumble IV,,New Zealand,"-500"
"198",Rumble III,"2008",New Zealand,"-220"
"199",Rumble II West,,New Zealand,"-1200"
"200",Healy,"1360",New Zealand,"-980"
"201",Brothers,,New Zealand,"-1350"
"202",Wright,,New Zealand,"-900"
"203",Curtis Island,,New Zealand,"47"
"204",Macauley,"-4360",New Zealand,"238"
"205",Giggenbach,,New Zealand,"-65"
"206",Raoul Island,"2006",New Zealand,"516"
"207",Monowai,"2014",New Zealand,"-132"
"208",Unnamed,,Tonga,"-385"
"209",Unnamed,,Tonga,"-65"
"210",Unnamed,"1932",Tonga,"-68"
"211",Unnamed,"2017",Tonga,"-296"
"212",Hunga Tonga-Hunga Ha'apai,"2022",Tonga,"114"
"213",Fonuafo'ou,"1936",Tonga,"-17"
"214",Kao,"1847",Tonga,"1009"
"215",Tofua,"2024",Tonga,"515"
"216",Lateiki,"2019",Tonga,"43"
"217",Home Reef,"2023",Tonga,"-10"
"218",Unnamed,"2019",Tonga,"-40"
"219",Late,"1854",Tonga,"540"
"220",Tafahi,,Tonga,"546"
"221",Curacoa,"1979",Tonga,"-33"
"222",Fonualei,"1957",Tonga,"188"
"223",Niuafo'ou,"1946",Tonga,"260"
"224",Tafu-Maka,"2008",Tonga,"-1400"
"225",West Mata,"2009",Tonga,"-1174"
"226",Vailulu'u,"2003",United States,"-592"
"227",Ta'u,,United States,"931"
"228",Ofu-Olosega,"1866",United States,"639"
"229",Tutuila,"440",United States,"653"
"230",Upolu,,Samoa,"1100"
"231",Savaii,"1911",Samoa,"1858"
"232",Taveuni,"1550",Fiji,"1241"
"233",Nabukelevu,"1660",Fiji,"791"
