fid,Volcano_Name,Country,Elevation,Last_Eruption_Year
146,"Marra, Jebel",Sudan,3042,-2000
147,Kutum Volcanic Field,Sudan,1779,NA
148,Meidob Volcanic Field,Sudan,2000,-2950
149,Bayuda Volcanic Field,Sudan,670,850
150,"Ash Shaam, Harrat",Syria-Jordan-Saudi Arabia,1100,-2670
151,"Lunayyir, Harrat",Saudi Arabia,1370,1000
152,"Ithnayn, Harrat",Saudi Arabia,1625,NA
153,"Khaybar, Harrat",Saudi Arabia,2093,650
154,"Kishb, Harrat",Saudi Arabia,1475,NA
155,"Birk, Harrat al",Saudi Arabia,587,NA
156,"Rahat, Harrat",Saudi Arabia,1744,1256
157,"Yar, Jabal",Saudi Arabia,305,1810
158,"Arhab, Harra of",Yemen,3100,500
159,"Haylan, Jabal",Yemen,1550,-1200
160,"Dhamar, Harras of",Yemen,3500,NA
161,"Sawad, Harra Es-",Yemen,1737,1253
162,Balhaf-Bir Ali Volcanic Field,Yemen,604,NA
163,Bir Borhut,Yemen,464,NA
164,Damavand,Iran,5670,-5350
165,"Grille, La",Comoros,1087,NA
166,Mayotte,France,660,2019
167,Ambre-Bobaomby,Madagascar,1475,NA
168,Nosy-Be,Madagascar,214,NA
169,Ankaizina Field,Madagascar,2878,NA
170,Itasy Volcanic Field,Madagascar,1800,-6050
171,Vakinankaratra,Madagascar,2644,NA
172,Karthala,Comoros,2361,2007
173,"Fournaise, Piton de la",France,2632,2023
174,Boomerang Seamount,France,-650,1995
175,Amsterdam Island,France,881,NA
176,St. Paul,France,268,1793
177,McDonald Islands,Australia,230,2005
178,Heard,Australia,2745,2024
179,Kerguelen Islands,France,1840,NA
180,"Est, Ile de l'",France,1090,NA
181,"Possession, Ile de la",France,934,NA
182,"Cochons, Ile aux",France,775,NA
183,Prince Edward Island,South Africa,672,NA
184,Marion Island,South Africa,1230,2004
185,Kaikohe-Bay of Islands,New Zealand,388,400
186,Mayor Island,New Zealand,355,-5060
187,Auckland Volcanic Field,New Zealand,260,1446
188,Taranaki,New Zealand,2518,1800
189,Whakaari/White Island,New Zealand,294,2024
190,Okataina,New Zealand,1111,1981
191,Taupo,New Zealand,760,260
192,Tongariro,New Zealand,1978,2012
193,Clark,New Zealand,-860,NA
194,Tangaroa,New Zealand,-600,NA
195,Ruapehu,New Zealand,2797,2007
196,Rumble V,New Zealand,-400,NA
197,Rumble IV,New Zealand,-500,NA
198,Rumble III,New Zealand,-220,2008
199,Rumble II West,New Zealand,-1200,NA
200,Healy,New Zealand,-980,1360
201,Brothers,New Zealand,-1350,NA
202,Wright,New Zealand,-900,NA
203,Curtis Island,New Zealand,47,NA
204,Macauley,New Zealand,238,-4360
205,Giggenbach,New Zealand,-65,NA
206,Raoul Island,New Zealand,516,2006
207,Monowai,New Zealand,-132,2014
208,Unnamed,Tonga,-385,NA
209,Unnamed,Tonga,-65,NA
210,Unnamed,Tonga,-68,1932
211,Unnamed,Tonga,-296,2017
212,Hunga Tonga-Hunga Ha'apai,Tonga,114,2022
213,Fonuafo'ou,Tonga,-17,1936
214,Kao,Tonga,1009,1847
215,Tofua,Tonga,515,2024
216,Lateiki,Tonga,43,2019
217,Home Reef,Tonga,-10,2023
218,Unnamed,Tonga,-40,2019
219,Late,Tonga,540,1854
220,Tafahi,Tonga,546,NA
221,Curacoa,Tonga,-33,1979
222,Fonualei,Tonga,188,1957
223,Niuafo'ou,Tonga,260,1946
224,Tafu-Maka,Tonga,-1400,2008
225,West Mata,Tonga,-1174,2009
226,Vailulu'u,United States,-592,2003
227,Ta'u,United States,931,NA
228,Ofu-Olosega,United States,639,1866
229,Tutuila,United States,653,440
230,Upolu,Samoa,1100,NA
231,Savaii,Samoa,1858,1911
232,Taveuni,Fiji,1241,1550
233,Nabukelevu,Fiji,791,1660
234,St. Andrew Strait,Papua New Guinea,270,1957
235,Central Bismarck Sea,Papua New Guinea,-1300,1972
236,Blup Blup,Papua New Guinea,402,NA
237,Kadovar,Papua New Guinea,365,2023
238,Boisa,Papua New Guinea,240,NA
239,Bam,Papua New Guinea,685,1960
240,Manam,Papua New Guinea,1807,2024
241,Karkar,Papua New Guinea,1839,1979
242,Hankow Reef,Papua New Guinea,-5,NA
243,Long Island,Papua New Guinea,1280,1993
244,Umboi,Papua New Guinea,1335,NA
245,Ritter Island,Papua New Guinea,75,2007
246,Sakar,Papua New Guinea,992,NA
247,Langila,Papua New Guinea,1330,2024
248,Dakataua,Papua New Guinea,408,1895
249,Bola,Papua New Guinea,1116,NA
250,Garua Harbour,Papua New Guinea,565,NA
251,Lolo,Papua New Guinea,796,NA
252,Krummel-Garbuna-Welcker,Papua New Guinea,564,2008
253,Witori,Papua New Guinea,724,2012
254,Sulu Range,Papua New Guinea,610,NA
255,Hargy,Papua New Guinea,1148,950
256,Bamus,Papua New Guinea,2248,1886
257,Ulawun,Papua New Guinea,2334,2023
258,Lolobau,Papua New Guinea,878,1912
259,Rabaul,Papua New Guinea,688,2014
260,Tavui,Papua New Guinea,200,-4946
261,Hydrographers Range,Papua New Guinea,1915,NA
262,Lamington,Papua New Guinea,1680,1956
263,Managlase Plateau,Papua New Guinea,1342,NA
264,Victory,Papua New Guinea,1832,1935
265,Goodenough,Papua New Guinea,220,NA
266,Sessagara Hills,Papua New Guinea,493,1944
267,Iamalele,Papua New Guinea,194,NA
268,Dawson Strait Group,Papua New Guinea,500,1350
269,Lihir,Papua New Guinea,700,NA
270,Ambitle,Papua New Guinea,450,-350
271,Billy Mitchell,Papua New Guinea,1544,1580
272,Balbi,Papua New Guinea,2715,NA
273,Takuan Group,Papua New Guinea,2210,NA
274,Bagana,Papua New Guinea,1855,2024
275,Loloru,Papua New Guinea,1887,-1050
276,Kana Keoki,Solomon Islands,-700,NA
277,Coleman Seamount,Solomon Islands,-717,NA
278,Simbo,Solomon Islands,335,1910
279,Unnamed,Solomon Islands,-240,NA
280,Gallego,Solomon Islands,1000,NA
281,Kavachi,Solomon Islands,-20,2014
282,Savo,Solomon Islands,485,1847
283,Tinakula,Solomon Islands,796,2024
284,Motlav,Vanuatu,411,NA
285,Suretamatai,Vanuatu,921,1966
286,Gaua,Vanuatu,729,2022
287,Ambae,Vanuatu,1496,2023
288,Ambrym,Vanuatu,1334,2024
289,Lopevi,Vanuatu,1413,2007
290,East Epi,Vanuatu,833,2023
291,Kuwae,Vanuatu,-2,1974
292,Nguna-Emau,Vanuatu,589,NA
293,Traitor's Head,Vanuatu,817,1881
294,Yasur,Vanuatu,361,2024
295,Gemini-Oscostar,Vanuatu,-33,1996
296,Matthew Island,France - claimed by Vanuatu,177,1956
297,Hunter Island,France - claimed by Vanuatu,297,1903
298,Newer Volcanics Province,Australia,1011,-2900
299,McBride Volcanic Province,Australia,1020,-5050
300,Narcondum,India,710,NA
301,Barren Island,India,354,2024
302,Seulawah Agam,Indonesia,1810,1839
303,Peuet Sague,Indonesia,2785,2000
304,"Telong, Bur ni",Indonesia,2617,1937
305,Singkut,Indonesia,2181,1881
306,Sinabung,Indonesia,2460,2021
307,Toba,Indonesia,2157,NA
308,Lubukraya,Indonesia,1862,NA
309,Sibualbuali,Indonesia,1819,NA
310,Malintang,Indonesia,1983,NA
311,Sorikmarapi,Indonesia,2145,1986
312,Talakmau,Indonesia,2919,NA
313,Marapi,Indonesia,2885,2024
314,Tandikat-Singgalang,Indonesia,2854,1924
315,Talang,Indonesia,2575,2007
316,Kerinci,Indonesia,3800,2024
317,Sumbing,Indonesia,2507,1921
318,Hululais,Indonesia,2122,NA
319,"Daun, Bukit",Indonesia,2467,NA
320,Kaba,Indonesia,1940,2000
321,Patah,Indonesia,2836,NA
322,Dempo,Indonesia,3142,2024
323,Ranau,Indonesia,1854,NA
324,Suoh,Indonesia,1000,2024
325,Rajabasa,Indonesia,1281,NA
326,Krakatau,Indonesia,285,2023
327,Pulosari,Indonesia,1324,NA
328,Karang,Indonesia,1768,NA
329,Perbakti-Gagak,Indonesia,1726,1939
330,Salak,Indonesia,2218,1938
331,Gede-Pangrango,Indonesia,3026,1957
332,Patuha,Indonesia,2422,NA
333,Tangkuban Parahu,Indonesia,2084,2019
334,Papandayan,Indonesia,2665,2002
335,Kendang,Indonesia,2594,NA
336,Tampomas,Indonesia,1690,NA
337,Guntur,Indonesia,2251,1847
338,Galunggung,Indonesia,2168,1984
339,Talagabodas,Indonesia,2201,NA
340,Ciremai,Indonesia,3039,1951
341,Slamet,Indonesia,3428,2014
342,Dieng Volcanic Complex,Indonesia,2565,2021
